2026-04-17,1,2,12000
2026-04-17,2,5,8000
2026-04-18,3,1,15000
2026-04-18,4,3,9000
2026-04-18,5,2,6500
2026-04-19,6,4,18000
2026-04-19,7,1,7500
2026-04-20,8,5,12000
2026-04-20,9,2,8000
2026-04-20,10,4,9000
2026-04-21,11,3,15000
2026-04-21,12,5,18000
2026-04-22,13,1,6500
2026-04-22,14,2,12000
2026-04-22,15,4,7500
2026-04-23,16,3,8000
2026-04-23,17,5,15000
2026-04-24,18,1,9000
2026-04-24,19,2,18000
2026-04-24,20,4,12000
2026-04-25,21,5,6500
2026-04-25,22,3,9000
2026-04-26,23,2,15000
2026-04-26,24,1,8000
2026-04-26,25,4,18000
2026-04-27,26,5,12000
2026-04-27,27,3,7500
2026-04-27,28,2,6500
2026-04-28,29,1,9000
2026-04-28,30,4,15000
2026-04-28,31,5,12000
2026-04-29,32,2,18000
2026-04-29,33,3,8000
2026-04-30,34,1,7500
2026-04-30,35,4,12000
2026-04-30,36,5,9000
2026-05-01,37,2,15000
2026-05-01,38,3,18000
2026-05-01,39,1,6500
2026-05-02,40,4,8000
2026-05-02,41,5,12000
2026-05-02,42,2,9000
2026-05-03,43,1,15000
2026-05-03,44,3,7500
2026-05-03,45,4,18000
2026-05-04,46,5,12000
2026-05-04,47,2,8000
2026-05-04,48,1,6500
2026-05-05,49,3,9000
2026-05-05,50,4,15000
2026-04-17,1,2,12000
2026-04-17,2,5,8000
2026-04-17,3,1,15000
2026-04-18,4,3,9000
2026-04-18,5,2,6500
2026-04-18,6,4,18000
2026-04-19,7,1,7500
2026-04-19,8,5,12000
2026-04-19,9,2,8000
2026-04-20,10,4,9000
2026-04-20,11,3,15000
2026-04-20,12,5,18000
2026-04-21,13,1,6500
2026-04-21,14,2,12000
2026-04-21,15,4,7500
2026-04-22,16,3,8000
2026-04-22,17,5,15000
2026-04-22,18,1,9000
2026-04-23,19,2,18000
2026-04-23,20,4,12000
2026-04-23,21,5,6500
2026-04-24,22,3,9000
2026-04-24,23,2,15000
2026-04-24,24,1,8000
2026-04-25,25,4,18000
2026-04-25,26,5,12000
2026-04-25,27,3,7500
2026-04-26,28,2,6500
2026-04-26,29,1,9000
2026-04-26,30,4,15000
2026-04-27,31,5,12000
2026-04-27,32,2,18000
2026-04-27,33,3,8000
2026-04-28,34,1,7500
2026-04-28,35,4,12000
2026-04-28,36,5,9000
2026-04-29,37,2,15000
2026-04-29,38,3,18000
2026-04-29,39,1,6500
2026-04-30,40,4,8000
2026-04-30,41,5,12000
2026-04-30,42,2,9000
2026-05-01,43,1,15000
2026-05-01,44,3,7500
2026-05-01,45,4,18000
2026-05-02,46,5,12000
2026-05-02,47,2,8000
2026-05-02,48,1,6500
2026-05-03,49,3,9000
2026-05-03,50,4,15000
2026-05-03,51,5,18000
2026-05-04,52,2,12000
2026-05-04,53,1,8000
2026-05-04,54,3,6500
2026-05-05,55,4,9000
2026-05-05,56,5,15000
2026-05-05,57,2,18000
2026-05-06,58,1,12000
2026-05-06,59,3,7500
2026-05-06,60,4,8000
2026-05-07,61,5,9000
2026-05-07,62,2,15000
2026-05-07,63,1,18000
2026-05-08,64,3,12000
2026-05-08,65,4,6500
2026-05-08,66,5,8000
2026-05-09,67,2,9000
2026-05-09,68,1,15000
2026-05-09,69,3,18000
2026-05-10,70,4,12000
2026-05-10,71,5,7500
2026-05-10,72,2,8000
2026-05-11,73,1,6500
2026-05-11,74,3,9000
2026-05-11,75,4,15000
2026-05-12,76,5,18000
2026-05-12,77,2,12000
2026-05-12,78,1,8000
2026-05-13,79,3,6500
2026-05-13,80,4,9000
2026-05-13,81,5,15000
2026-05-14,82,2,18000
2026-05-14,83,1,12000
2026-05-14,84,3,7500
2026-05-15,85,4,8000
2026-05-15,86,5,9000
2026-05-15,87,2,15000
2026-05-16,88,1,18000
2026-05-16,89,3,12000
2026-05-16,90,4,6500
2026-05-17,91,5,8000
2026-05-17,92,2,9000
2026-05-17,93,1,15000
2026-05-18,94,3,18000
2026-05-18,95,4,12000
2026-05-18,96,5,7500
2026-05-19,97,2,8000
2026-05-19,98,1,6500
2026-05-19,99,3,9000
2026-05-20,100,4,15000
